time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-02-09T01:55:11.190Z,34.0015,-116.8346667,20.67,1.28,ml,43,36,0.04032,0.25,ci,ci37314336,2015-02-09T02:05:32.620Z,"9km NNE of Banning, California",earthquake
2015-02-09T01:45:02.840Z,31.5261669,-115.6653366,1.86,4.89,mw,6,133,0.509,0.13,ci,ci37314320,2015-02-09T02:14:15.711Z,"88km ESE of Maneadero, B.C., Mexico",earthquake
2015-02-09T01:42:42.100Z,37.6360016,-118.9365005,8.09,1.77,md,19,73,0.02639,0.02,nc,nc72393566,2015-02-09T01:58:02.456Z,"3km ESE of Mammoth Lakes, California",earthquake
2015-02-09T01:42:22.509Z,38.383,-119.9701,0,2.93,ml,9,211.75,1.081,,nn,nn00481707,2015-02-09T01:51:23.606Z,"36km ENE of Arnold, California",earthquake
2015-02-09T01:30:46.300Z,36.4695015,-121.0439987,5.03,2.25,md,20,114,0.04803,0.05,nc,nc72393561,2015-02-09T02:04:04.808Z,"24km NE of Greenfield, California",earthquake
2015-02-09T01:07:55.000Z,61.8268,-147.8777,27.9,1.5,ml,,,,0.85,ak,ak11504841,2015-02-09T01:24:23.162Z,"51km E of Sutton-Alpine, Alaska",earthquake
2015-02-09T01:03:38.000Z,64.7129,-147.3059,11.3,1.3,ml,,,,0.45,ak,ak11504839,2015-02-09T01:24:22.587Z,"4km SSE of North Pole, Alaska",earthquake
2015-02-09T00:54:11.120Z,41.6638333,-109.9015,-3.03,3.44,ml,,,,,uu,uu60101422,2015-02-09T01:30:09.673Z,"39km WNW of Green River, Wyoming",earthquake
2015-02-09T00:32:24.000Z,61.2992,-146.9016,11.9,1.9,ml,,,,0.25,ak,ak11504837,2015-02-09T01:04:27.905Z,"35km WNW of Valdez, Alaska",earthquake
2015-02-09T00:18:02.650Z,38.8084984,-122.819664,1.93,1.07,md,16,74,0.007442,0.07,nc,nc72393556,2015-02-09T01:35:02.268Z,"6km WNW of The Geysers, California",earthquake
2015-02-08T23:51:07.290Z,34.1375,-116.84,9.37,1.91,ml,80,21,0.09083,0.23,ci,ci37314304,2015-02-09T02:15:08.154Z,"14km SSE of Big Bear Lake, California",earthquake
2015-02-08T23:42:31.740Z,35.9211667,-117.672,1.74,1,ml,12,94,0.03193,0.28,ci,ci37314296,2015-02-08T23:46:18.235Z,"21km E of Little Lake, California",earthquake
2015-02-08T23:31:29.225Z,37.6286,-118.955,6.9127,0.75,ml,9,144.16,0.039,0.0934,nn,nn00481682,2015-02-08T23:41:13.866Z,"2km SE of Mammoth Lakes, California",earthquake
2015-02-08T23:24:02.000Z,57.1087,-156.8307,9,3.1,ml,,,,0.9,ak,ak11504828,2015-02-08T23:47:14.164Z,"151km NE of Chignik Lake, Alaska",earthquake
2015-02-08T23:22:07.000Z,53.3688,-164.3208,57.5,2.7,ml,,,,0.57,ak,ak11504843,2015-02-09T01:42:49.275Z,"128km SE of Akutan, Alaska",earthquake
2015-02-08T23:12:19.700Z,32.9748333,-116.4186667,7.69,0.96,ml,22,70,0.08266,0.24,ci,ci37314288,2015-02-08T23:16:13.035Z,"20km NNE of Pine Valley, California",earthquake
2015-02-08T22:57:33.200Z,19.4337,-155.9465,7.9,2.9,Ml,,219.6,0.06288207,0.39,hv,hv60848346,2015-02-08T23:48:31.798Z,"7km SSW of Captain Cook, Hawaii",earthquake
2015-02-08T22:52:08.840Z,37.6361656,-118.9386673,7.97,2.95,md,18,74,0.05423,0.05,nc,nc72393546,2015-02-09T01:47:53.539Z,"2km SE of Mammoth Lakes, California",earthquake
2015-02-08T22:38:10.280Z,38.8218346,-122.8430023,2.35,1.58,md,26,39,0.01224,0.03,nc,nc72393541,2015-02-09T00:06:04.951Z,"9km WNW of The Geysers, California",earthquake
2015-02-08T21:23:38.000Z,63.0515,-150.8248,92.1,1.8,ml,,,,0.94,ak,ak11504784,2015-02-08T21:44:32.503Z,"88km NNW of Talkeetna, Alaska",earthquake
2015-02-08T20:44:21.900Z,38.7453346,-122.7358322,2.64,1.26,md,10,155,0.01003,0.03,nc,nc72393521,2015-02-08T23:07:04.013Z,"3km SSE of The Geysers, California",earthquake
2015-02-08T20:36:06.000Z,62.1392,-148.0656,28.3,1.7,ml,,,,0.55,ak,ak11504779,2015-02-08T21:07:11.266Z,"56km NE of Sutton-Alpine, Alaska",earthquake
2015-02-08T20:15:02.280Z,35.4226667,-118.7565,5.01,1.43,ml,21,114,0.1179,0.2,ci,ci37314272,2015-02-08T20:18:57.294Z,"23km NE of Lamont, California",earthquake
